Jurisdiction,County,Government Type,Subject,Ballot Measure Text,Election Results,Yes %,No %,Election Month,Election Year,Duration in Years Levy/Fee,Amount of Levy (Per $1000 A/V),Tax Amount,Bond Amount,Funding Type/Statutory Authority
Whatcom County Fire Protection District No. 16 - Acme/Van Zandt,Whatcom,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,76.44,23.56,August,2015,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Whatcom County Fire Protection District No. 17,Whatcom,Fire Protection District,Fire,"Single-year levy lid lift (to $1.45, permanent) for fire district maintenance and operations.",Passed,63.87,36.13,November,2015,Single-year (permanent),1.45,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 18,Whatcom,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.00, permanent) to maintain and improve fire protection and EMS, replacing funds lost due to an expiring EMS levy.",Passed,76.74,23.26,November,2014,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 4 - Bellingham,Whatcom,Fire Protection District,EMS,Permanent EMS levy ($0.30).,Passed,62.06,37.94,November,2013,Permanent,0.3,,,EMS Levy (RCW 84.52.069)
Whatcom County Fire Protection District No. 4 - Bellingham,Whatcom,Fire Protection District,Fire,"Single-year levy lid lift (to $1.26, permanent) for fire district operations.",Failed,49.72,50.28,August,2012,Single-year (permanent),1.26,,,Levy Lid Lift (RCW 84.55.050)
Whatcom County Fire Protection District No. 7,Whatcom,Fire Protection District,"Annexation, Fire",Annexation of the City of Ferndale.,Passed,83.34,16.66,February,2015,,,,,N/A
Whatcom County Fire Protection District No. 8,Whatcom,Fire Protection District,"Fire, EMS","Fire district excess levy (4 years, up to $0.51) to maintain current fire and EMS level of service.",Passed,80.08,19.92,February,2016,4,0.51,,,Fire District Excess Levy (RCW 84.52.130)
Whidbey Island Public Hospital District - dba Whidbey General Hospital,Island,Public Hospital District,Hospital,"Bonds (26 years, $50 million) for hospital expansion and improvements, including a new inpatient wing.",Passed,61.55,38.45,November,2013,26,,,"50,000,000",Bond (RCW 84.52.056)
Whidbey Island Public Hospital District - dba Whidbey General Hospital,Island,Public Hospital District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,70.78,29.22,August,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
White Salmon,Klickitat,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.18 to $1.29, 1 year) for swimming pool operations and maintenance.",Passed,72.49,27.51,November,2017,1,1.29,,,Levy Lid Lift (RCW 84.55.050)
White Salmon,Klickitat,City,Parks and Recreation,"Single-year levy lid lift (increase of $0.18 to $1.36, 5 years) for swimming pool operations and maintenance.",Passed,69.84,30.16,November,2012,Single-year (5 years),1.362,,,Levy Lid Lift (RCW 84.55.050)
Whitman County,Whitman,County,Other,"Single-year levy lid lift (increase of $0.22, permanent) for general fund expenses and services.",Passed,50.88,49.12,February,2014,Single-year (permanent),0.22,,,Levy Lid Lift (RCW 84.55.050)
Whitman County,Whitman,Public Hospital District,Hospital,Forming a new public hospital district in and around Tekoa.,Passed,73.59,26.41,November,2012,,,,,N/A
Whitman County Cemetery District No. 1 - Oakesdale Cemetery District No. 1,Whitman,Cemetery District,Cemetery,Excess levy ($0.70) for cemetery improvement and maintenance.,Passed,69.55,30.45,November,2013,1,0.7,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 1 - Oakesdale Cemetery District No. 1,Whitman,Cemetery District,Cemetery,Excess levy ($0.62) for cemetery improvement and maintenance.,Passed,68.93,31.07,November,2012,1,0.62,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 1 - Oakesdale Cemetery District No. 1,Whitman,Cemetery District,Cemetery,Excess levy ($0.89) for cemetery improvement and maintenance.,Passed,65.96,34.04,November,2011,1,0.89,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 2 - Garfield,Whitman,Cemetery District,Cemetery,Excess levy ($0.52) for cemetery maintenance and operations and to build a reserve for cemetery improvements.,Passed,68.25,31.75,August,2015,1,0.52,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 3 - St. John Cemetery District No. 3,Whitman,Cemetery District,Cemetery,Excess levy ($0.08) for cemetery maintenance and operation.,Passed,79.35,20.65,August,2017,1,0.08,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 3 - St. John Cemetery District No. 3,Whitman,Cemetery District,Cemetery,Excess levy ($0.08) for cemetery maintenance and operation.,Passed,81.63,18.37,August,2016,1,0.08,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 3 - St. John Cemetery District No. 3,Whitman,Cemetery District,Cemetery,Excess levy ($0.12) for cemetery expansion and capital improvements.,Passed,82.57,17.43,November,2012,1,0.12,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 4 - Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.40) for cemetery maintenance.,Passed,72.39,27.61,November,2013,1,0.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 4 - Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.36) for cemetery maintenance.,Passed,76.9,23.1,November,2012,1,0.36,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 4 - Endicott Cemetery District No. 4,Whitman,Cemetery District,Cemetery,Excess levy ($0.35) for cemetery maintenance.,Passed,68.23,31.77,November,2011,1,0.35,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 6 - Colfax,Whitman,Cemetery District,Cemetery,"Excess levy ($0.67) for cemetery maintenance and operation, including purchase of equipment.",Passed,62.86,37.14,August,2017,1,0.67,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Cemetery District No. 6 - Colfax,Whitman,Cemetery District,Cemetery,"Excess levy ($0.54) for cemetery operations, maintenance, and improvement.",Passed,79.6,20.4,August,2015,1,0.54,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Whitman County Fire District No.5 - Lamont,Whitman,Fire Protection District,Fire,Fire district excess levy ($0.34) for general fund maintenance and operations.,Passed,82.98,17.02,November,2013,4,0.34,,,Fire District Excess Levy (RCW 84.52.130)
Whitman County Fire Protection District No. 7 - Rosalia,Whitman,Fire Protection District,"Annexation, Fire",Annexation of the Town of Rosalia.,Passed,78.57,21.43,April,2016,,,,,N/A
Whitman County Fire Protection District No. 7 - Rosalia,Whitman,Fire Protection District,"Fire, EMS","Single-year levy lid lift (to $1.00, permanent) for fire and EMS equipment, staffing, and operations.",Passed,78.57,21.43,August,2015,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Whitman County Fire Protection District No. 7 - Rosalia,Whitman,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,89.17,10.83,August,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
Whitman County Fire Protection District No. 12 - Pullman,Whitman,Fire Protection District,Fire,"Single-year levy lid lift (to $1.00, permanent) for fire district operations.",Passed,68.01,31.99,August,2015,Single-year (permanent),1,,,Levy Lid Lift (RCW 84.55.050)
Whitman County Fire Protection District No. 12 - Pullman,Whitman,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,81.73,18.27,August,2015,6,0.5,,,EMS Levy (RCW 84.52.069)
Whitman County Fire Protection District No. 12 - Pullman,Whitman,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.50).",Passed,90.43,9.57,August,2012,6,0.5,,,EMS Levy (RCW 84.52.069)
Whitman County Fire Protection District No. 4,Whitman,Fire Protection District,EMS,Permanent EMS levy ($0.50).,Passed,74.03,25.97,November,2017,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Whitman County Fire Protection District No. 4,Whitman,Fire Protection District,EMS,"EMS levy, initial imposition (6 years, $0.50).",Failed,55.6,44.4,November,2016,1,0.5,,,EMS Levy (RCW 84.52.069)
Whitman County Fire Protection District No. 6 - Endicott,Whitman,Fire Protection District,Fire,"Fire district excess levy (4 years, $0.53) for maintenance and operations, replacing an expiring levy.",Passed,87.78,12.22,February,2016,4,0.53,,,Fire District Excess Levy (RCW 84.52.130)
Whitman County Fire Protection District No. 6 - Endicott,Whitman,Fire Protection District,Fire,"Fire district excess levy (4 years, $0.62) for maintenance and operations.",Passed,77.03,22.97,November,2012,4,0.62,,,Fire District Excess Levy (RCW 84.52.130)
Whitman County Park and Recreation District No. 2 - Garfield Park and Recreation District No. 2,Whitman,Fire Protection District,EMS,"EMS levy renewal (6 years, $0.47).",Passed,76.59,27.13,April,2014,6,0.47,,,EMS Levy (RCW 84.52.069)
Whitman County Public Hospital District No. 1A - Pullman Regional Hospital,Whitman,Public Hospital District,Hospital,,Passed,61.19,38.81,February,2014,,0.37,,,N/A
Whitman County Public Hospital District No. 2,Whitman,Public Hospital District,Hospital,"Single-year levy lid lift (to $0.50, permanent) for healthcare operations and maintenance.",Passed,58.91,41.09,November,2015,Single-year (permanent),0.5,,,Levy Lid Lift (RCW 84.55.050)
Whitman County Rural Library District,Whitman,Library District,Library,"Single-year levy lid lift (to $0.50, permanent) for library services.",Passed,58.16,41.84,February,2014,Single-year (permanent),0.5,,,Levy Lid Lift (RCW 84.55.050)
Wilkeson,Pierce,City,EMS,Permanent EMS levy ($0.50).,Passed,84,16,August,2017,Permanent,0.5,,,EMS Levy (RCW 84.52.069)
Wilkeson,Pierce,City,EMS,EMS levy increase (from $0.25 to $0.50) for the remaining four years of the six-year levy.,Passed,70.18,29.82,November,2013,6,0.5,,,EMS Levy (RCW 84.52.069)
Wilkeson,Pierce,City,Fire,"Single-year levy lid lift (increase of $1.50 to $3.10, permanent) for fire maintenance and operation.",Passed,65.18,34.82,November,2013,Single-year (permanent),3.1,,,Levy Lid Lift (RCW 84.55.050)
Wilkeson,Pierce,City,EMS,"EMS levy (6 years, initial imposition, $0.25).",Passed,62.79,37.21,November,2011,6,0.25,,,EMS Levy (RCW 84.52.069)
William Shore Memorial Pool District,Clallam,Park District,Parks and Recreation,"Bonds (30 years, $3.5 million) to renovate and expand the swimming pool.",Passed,70.07,29.94,November,2017,30,,,"3,500,000",Bond (RCW 84.52.056)
Winlock,Lewis,City,"Annexation, Library",Annexation into Timberland Regional Library.,Passed,70.26,29.74,November,2014,,,,,N/A
Winthrop,Okanogan,City,"Annexation, Fire",Annexation into Okanogan County Fire District No. 6.,Passed,76.52,23.48,February,2017,,,,,N/A
Winthrop,Okanogan,City,EMS,"EMS levy renewal (10 years, $0.50).",Passed,84.21,15.79,February,2013,10,0.5,,,EMS Levy (RCW 84.52.069)
Woodinville Fire and Rescue,King,Fire Protection District,Fire,"Fire benefit charges, continued imposition (6 years).",Passed,88.1,11.9,April,2013,6,,,,Fire District Benefit Charge (RCW 52.18.010)
Woodland,"Clark, Cowlitz",City,Criminal Justice,"Single-year levy lid lift (increase of $0.78 to $2.84, permanent) for three new police officers.",Failed,49.3,50.7,November,2017,"1, permanent",2.84,,,Levy Lid Lift (RCW 84.55.050)
Woodland,"Clark, Cowlitz",City,Fire,Forming the Clark County Regional Fire Authority from one city and two fire districts. <em>(Overall measure failed after being rejected in Clark County Fire District #11.)</em>,Failed,54.78,45.22,April,2015,,,,,N/A
Woodland,"Clark, Cowlitz",City,"Criminal Justice, Fire",Public safety sales tax (0.1%) for new police facility and other criminal justice and fire protection costs.,Passed,54.15,45.85,November,2011,,,0.001,,Public Safety Sales Tax (RCW 82.14.450)
Woodland Swimming Pool and Recreation District,"Clark, Cowlitz",Park District,Parks and Recreation,"Bonds (20 years, $7.99 million) for design and construction of a swimming pool and community center.",Failed,49,51,November,2017,20,,,"7,990,000",Bond (RCW 84.52.056)
Woodland Transportation Benefit District,"Clark, Cowlitz",Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for Transportation Improvement Program projects.",Failed,47.45,52.55,November,2017,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Woodland Transportation Benefit District,"Clark, Cowlitz",Transportation Benefit District,Transportation,"TBD sales tax (10 years, 0.2%) for transportation improvements.",Failed,48.44,51.56,November,2016,10,,0.002,,Transportation Benefit District Sales Tax (RCW 82.14.0455)
Woodway,Snohomish,City,"Fire, EMS, Transportation, Criminal Justice, Other","Single-year levy lid lift (to $2.48, permanent) for town operations, including police, fire, EMS, roads, and administration.",Passed,39.68,60.32,November,2016,Single-year (permanent),2.48,,,Levy Lid Lift (RCW 84.55.050)
Yacolt,Clark,City,EMS,"Excess levy ($1.40) for maintenance, operation, and staff salaries for North Country Emergency Medical Service.",Passed,89.74,10.26,August,2017,1,1.4,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Yacolt,Clark,City,EMS,"Excess levy ($1.50) for EMS maintenance and operation, with revenues to be used for North Country EMS over a three-year period.",Passed,80.93,19.07,August,2014,1,1.5,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Yacolt,Clark,City,Other,Excess levy ($1.00) for town maintenance and operation expenses.,Failed,35.14,64.86,November,2012,1,1,,,"Excess Levy (RCW 84.52.052, RCW 84.52.054)"
Yakima,Yakima,City,Parks and Recreation,"City charter amendment creating a dedicated parks and recreation capital construction and rehabilitation fund, funded with at least $750,000 annually from the general fund and adjusted with the CPI.",Passed,68.69,31.31,November,2014,,,,,N/A
Yakima,Yakima,City,Other,City charter amendment requiring at least 5 councilmembers (out of 7) to approve any new or increased councilmanic tax.,Passed,67.4,32.6,November,2013,,,,,N/A
Yakima,Yakima,City,Transportation,"City charter amendment creating a dedicated street overlay and reconstruction fund, funded with at least $2 million annually from the general fund and adjusted according to the consumer price index.",Passed,72.39,27.61,August,2013,,,,,N/A
